user_id,persona,age,gender,sleep_avg_hours,screen_time_hours,work_study_hours,wellness_points,primary_stressors,stress_score
usr_00054,Corporate,30,Female,5.6,5.8,6.9,16,"Burnout, Sedentary Lifestyle, Clinical Anxiety, Manager Toxicity",0.714
usr_00055,Teen,17,Female,6.1,6.6,5.4,90,"Time Management, Social Media, Peer Pressure, Academic Overload",0.412
usr_00056,Exam Warrior,16,Male,4.2,3.1,13.7,19,"Sleep Deprivation, Fear of Failure, Time Management, Exam Anxiety",0.992
usr_00057,Working Woman,29,Female,6.3,3.0,9.3,61,"Burnout, Sleep Deprivation, Financial Pressure, Imposter Syndrome",0.696
usr_00058,Teen,16,Male,6.6,7.8,5.1,74,"Peer Pressure, Depressive Mood, Fear of Failure, Dietary Neglect, Academic Overload",0.655
usr_00059,Working Woman,26,Female,6.8,2.7,7.4,0,"Career-Home Balance, Sleep Deprivation, Imposter Syndrome, Burnout, Relationship Friction",0.801
usr_00060,Corporate,24,Female,7.8,4.3,8.0,89,"Burnout, Time Management, Sedentary Lifestyle, Clinical Anxiety",0.519
usr_00061,Exam Warrior,18,Female,4.0,3.9,12.4,28,"Sleep Deprivation, Fear of Failure, Time Management, Burnout",1.0
usr_00062,Corporate,56,Female,4.9,8.2,11.6,95,"Meeting Fatigue, Burnout, Manager Toxicity, Clinical Anxiety",0.828
usr_00063,Teen,15,Female,7.4,6.8,5.3,97,"Peer Pressure, Academic Overload, Time Management, Fear of Failure, Depressive Mood",0.59
usr_00064,Teen,15,Male,7.4,10.4,5.4,22,"Depressive Mood, Time Management, Fear of Failure, Social Media",0.652
usr_00065,Corporate,58,Female,4.9,4.5,8.3,44,"Meeting Fatigue, Burnout, Financial Pressure, Manager Toxicity",0.707
usr_00066,Corporate,25,Male,6.8,7.8,8.0,25,"Meeting Fatigue, Sedentary Lifestyle, Manager Toxicity, Clinical Anxiety, Burnout",0.78
usr_00067,Exam Warrior,16,Male,5.1,4.4,10.7,22,"Sleep Deprivation, Academic Overload, Burnout, Exam Anxiety, Imposter Syndrome",1.0
usr_00068,Corporate,42,Female,6.2,5.6,12.4,78,"Clinical Anxiety, Meeting Fatigue, Burnout, Sedentary Lifestyle, Manager Toxicity",0.847
usr_00069,Parent,50,Female,6.7,0.4,7.1,50,"Time Management, Career-Home Balance, Financial Pressure, Relationship Friction",0.605
usr_00070,Teen,17,Female,8.5,6.7,5.2,65,"Time Management, Social Media, Depressive Mood, Dietary Neglect, Fear of Failure",0.523
usr_00071,Corporate,32,Male,5.1,6.2,10.8,66,"Sedentary Lifestyle, Burnout, Meeting Fatigue, Manager Toxicity",0.691
usr_00072,Parent,49,Female,7.1,2.4,5.7,21,"Financial Pressure, Teen Disconnect, Career-Home Balance, Chronic Illness, Time Management",0.649
usr_00073,Corporate,27,Male,4.9,5.2,9.6,44,"Manager Toxicity, Financial Pressure, Clinical Anxiety, Burnout, Sedentary Lifestyle",0.831
usr_00074,Parent,40,Male,8.3,2.8,5.8,47,"Chronic Illness, Time Management, Financial Pressure, Invisible Load, Teen Disconnect",0.631
usr_00075,Corporate,38,Male,6.5,6.6,8.5,55,"Time Management, Burnout, Manager Toxicity, Meeting Fatigue",0.563
usr_00076,Exam Warrior,18,Male,6.8,3.3,12.4,17,"Time Management, Imposter Syndrome, Fear of Failure, Burnout, Exam Anxiety",0.998
usr_00077,Exam Warrior,20,Female,4.9,2.6,11.2,56,"Academic Overload, Exam Anxiety, Time Management, Fear of Failure",0.835
usr_00078,Teen,18,Male,9.0,8.6,5.0,99,"Dietary Neglect, Academic Overload, Fear of Failure, Time Management",0.468
usr_00079,Exam Warrior,21,Female,4.7,3.3,10.2,25,"Fear of Failure, Exam Anxiety, Time Management, Academic Overload",0.815
usr_00080,Exam Warrior,17,Male,5.5,3.6,11.0,69,"Burnout, Exam Anxiety, Time Management, Sleep Deprivation, Academic Overload",0.866
usr_00081,Working Woman,32,Female,6.2,5.1,8.5,50,"Sleep Deprivation, Financial Pressure, Imposter Syndrome, Invisible Load, Burnout",0.749
usr_00082,Teen,14,Female,5.0,8.0,4.2,67,"Peer Pressure, Time Management, Fear of Failure, Social Media, Academic Overload",0.646
usr_00083,Parent,51,Female,6.1,2.6,5.3,36,"Career-Home Balance, Time Management, Invisible Load, Relationship Friction, Chronic Illness",0.71
usr_00084,Parent,35,Male,4.9,4.5,11.7,9,"Relationship Friction, Chronic Illness, Financial Pressure, Career-Home Balance",0.842
usr_00085,Working Woman,23,Female,7.0,3.3,9.8,16,"Sleep Deprivation, Burnout, Invisible Load, Career-Home Balance",0.712
usr_00086,Teen,15,Male,8.5,7.8,4.3,74,"Academic Overload, Social Media, Fear of Failure, Time Management, Dietary Neglect",0.531
usr_00087,Teen,14,Male,7.1,6.7,6.4,71,"Depressive Mood, Fear of Failure, Time Management, Dietary Neglect",0.496
usr_00088,Parent,40,Female,7.0,3.6,7.0,77,"Career-Home Balance, Relationship Friction, Invisible Load, Financial Pressure, Teen Disconnect",0.604
usr_00089,Exam Warrior,20,Male,5.3,4.4,11.1,13,"Imposter Syndrome, Academic Overload, Fear of Failure, Burnout, Sleep Deprivation",1.0
usr_00090,Parent,37,Female,8.3,1.1,5.8,65,"Career-Home Balance, Invisible Load, Financial Pressure, Relationship Friction",0.534
usr_00091,Corporate,27,Female,4.8,7.2,10.1,28,"Time Management, Clinical Anxiety, Financial Pressure, Manager Toxicity, Meeting Fatigue",0.849
usr_00092,Teen,16,Female,8.0,8.8,4.4,67,"Dietary Neglect, Depressive Mood, Peer Pressure, Social Media, Time Management",0.547
usr_00093,Exam Warrior,16,Female,5.2,3.8,8.1,87,"Exam Anxiety, Fear of Failure, Burnout, Imposter Syndrome, Time Management",0.836
usr_00094,Working Woman,36,Female,5.6,4.5,9.6,1,"Invisible Load, Relationship Friction, Career-Home Balance, Burnout",0.782
usr_00095,Parent,50,Female,5.0,3.3,6.1,73,"Relationship Friction, Invisible Load, Chronic Illness, Financial Pressure",0.653
usr_00096,Exam Warrior,20,Female,5.3,3.1,12.5,99,"Academic Overload, Time Management, Fear of Failure, Sleep Deprivation, Burnout",0.924
usr_00097,Working Woman,26,Female,6.2,4.5,8.9,8,"Relationship Friction, Invisible Load, Burnout, Career-Home Balance",0.704
usr_00098,Parent,45,Female,6.4,3.9,12.6,20,"Invisible Load, Time Management, Chronic Illness, Relationship Friction",0.769
usr_00099,Teen,17,Male,5.8,4.0,6.0,1,"Time Management, Peer Pressure, Social Media, Academic Overload",0.508
usr_00100,Exam Warrior,17,Female,4.3,3.2,9.8,23,"Time Management, Academic Overload, Sleep Deprivation, Burnout",0.84
usr_00101,Teen,16,Male,6.7,8.3,7.2,27,"Time Management, Depressive Mood, Dietary Neglect, Academic Overload, Fear of Failure",0.698
usr_00102,Exam Warrior,19,Female,5.5,3.9,13.2,62,"Fear of Failure, Imposter Syndrome, Academic Overload, Sleep Deprivation, Time Management",0.871
usr_00103,Corporate,28,Female,6.0,5.5,9.9,31,"Clinical Anxiety, Financial Pressure, Meeting Fatigue, Time Management",0.603
usr_00104,Corporate,50,Male,5.4,5.7,9.0,65,"Meeting Fatigue, Time Management, Burnout, Clinical Anxiety",0.665
usr_00105,Working Woman,38,Female,7.2,1.5,8.0,28,"Imposter Syndrome, Relationship Friction, Sleep Deprivation, Invisible Load",0.607
usr_00106,Parent,41,Male,5.5,5.1,9.7,64,"Financial Pressure, Invisible Load, Relationship Friction, Time Management",0.629
usr_00107,Teen,15,Male,7.1,6.8,5.6,7,"Social Media, Academic Overload, Depressive Mood, Fear of Failure",0.603
usr_00108,Exam Warrior,17,Male,6.1,3.9,11.0,36,"Academic Overload, Exam Anxiety, Fear of Failure, Time Management, Sleep Deprivation",0.889
usr_00109,Corporate,35,Male,4.7,8.1,7.3,1,"Clinical Anxiety, Sedentary Lifestyle, Time Management, Financial Pressure",0.744
usr_00110,Parent,54,Male,6.1,4.2,6.9,52,"Career-Home Balance, Invisible Load, Relationship Friction, Chronic Illness",0.66
usr_00111,Working Woman,24,Female,7.0,4.0,8.0,80,"Burnout, Career-Home Balance, Imposter Syndrome, Relationship Friction",0.66
usr_00112,Teen,14,Female,6.3,6.2,3.5,86,"Social Media, Academic Overload, Fear of Failure, Depressive Mood, Time Management",0.549
usr_00113,Corporate,32,Female,7.1,5.7,8.1,36,"Clinical Anxiety, Time Management, Manager Toxicity, Burnout",0.696
usr_00114,Teen,18,Female,7.3,8.8,7.0,70,"Time Management, Dietary Neglect, Social Media, Depressive Mood, Fear of Failure",0.601
usr_00115,Exam Warrior,19,Female,6.6,3.0,8.7,53,"Fear of Failure, Academic Overload, Time Management, Exam Anxiety, Sleep Deprivation",0.721
usr_00116,Parent,32,Male,5.2,3.7,5.3,35,"Career-Home Balance, Financial Pressure, Relationship Friction, Invisible Load, Time Management",0.707
usr_00117,Teen,15,Male,5.9,11.7,5.6,68,"Fear of Failure, Academic Overload, Dietary Neglect, Social Media, Peer Pressure",0.629
usr_00118,Teen,14,Male,7.7,4.3,5.0,97,"Depressive Mood, Time Management, Social Media, Fear of Failure",0.425
usr_00119,Teen,14,Male,5.5,4.6,7.0,41,"Depressive Mood, Social Media, Dietary Neglect, Time Management",0.459
usr_00120,Teen,15,Female,7.8,8.8,5.7,18,"Peer Pressure, Social Media, Time Management, Dietary Neglect",0.421
usr_00121,Corporate,38,Female,4.9,5.2,11.4,7,"Manager Toxicity, Time Management, Burnout, Clinical Anxiety",0.924
usr_00122,Corporate,38,Female,6.7,6.2,9.4,14,"Financial Pressure, Meeting Fatigue, Clinical Anxiety, Manager Toxicity, Sedentary Lifestyle",0.688
usr_00123,Parent,40,Female,7.2,3.2,8.8,58,"Invisible Load, Financial Pressure, Career-Home Balance, Teen Disconnect",0.547
usr_00124,Corporate,39,Female,5.9,4.5,13.4,13,"Meeting Fatigue, Sedentary Lifestyle, Time Management, Financial Pressure",0.693
usr_00125,Parent,43,Male,6.7,2.4,10.3,38,"Teen Disconnect, Chronic Illness, Financial Pressure, Invisible Load",0.627
usr_00126,Teen,16,Female,8.2,4.3,5.3,65,"Dietary Neglect, Depressive Mood, Time Management, Social Media, Fear of Failure",0.549
usr_00127,Parent,41,Non-binary,7.1,2.8,8.0,15,"Career-Home Balance, Chronic Illness, Relationship Friction, Invisible Load",0.661
usr_00128,Working Woman,36,Female,5.2,3.8,8.9,64,"Financial Pressure, Sleep Deprivation, Imposter Syndrome, Invisible Load",0.566
usr_00129,Teen,15,Male,7.9,6.2,5.8,47,"Dietary Neglect, Academic Overload, Social Media, Depressive Mood, Peer Pressure",0.602
usr_00130,Teen,17,Non-binary,4.7,4.8,3.7,36,"Depressive Mood, Peer Pressure, Academic Overload, Dietary Neglect, Fear of Failure",0.772
usr_00131,Corporate,58,Male,6.8,5.2,9.4,76,"Sedentary Lifestyle, Clinical Anxiety, Time Management, Financial Pressure, Manager Toxicity",0.663
usr_00132,Exam Warrior,15,Female,5.4,2.8,10.8,73,"Burnout, Fear of Failure, Exam Anxiety, Time Management, Imposter Syndrome",0.909
usr_00133,Parent,33,Male,6.9,3.6,5.8,8,"Invisible Load, Relationship Friction, Chronic Illness, Time Management",0.645
usr_00134,Parent,51,Non-binary,6.2,1.6,9.4,87,"Teen Disconnect, Relationship Friction, Career-Home Balance, Financial Pressure, Time Management",0.618
usr_00135,Parent,34,Male,6.7,1.2,10.8,97,"Career-Home Balance, Invisible Load, Time Management, Chronic Illness",0.62
usr_00136,Parent,40,Male,6.3,0.9,7.9,24,"Chronic Illness, Teen Disconnect, Invisible Load, Financial Pressure, Time Management",0.658
usr_00137,Corporate,32,Male,4.6,3.6,11.1,89,"Financial Pressure, Time Management, Clinical Anxiety, Manager Toxicity",0.734
usr_00138,Exam Warrior,20,Non-binary,5.5,4.5,11.7,39,"Imposter Syndrome, Time Management, Academic Overload, Sleep Deprivation, Exam Anxiety",0.894
usr_00139,Exam Warrior,17,Female,5.6,5.2,10.9,58,"Burnout, Fear of Failure, Academic Overload, Imposter Syndrome",0.807
usr_00140,Parent,47,Female,7.0,4.0,9.8,37,"Time Management, Chronic Illness, Career-Home Balance, Relationship Friction, Invisible Load",0.763
usr_00141,Working Woman,28,Female,7.0,3.9,8.8,81,"Burnout, Sleep Deprivation, Financial Pressure, Imposter Syndrome, Career-Home Balance",0.704
usr_00142,Working Woman,23,Female,6.0,5.5,8.8,16,"Imposter Syndrome, Relationship Friction, Sleep Deprivation, Career-Home Balance, Invisible Load",0.737
usr_00143,Exam Warrior,18,Male,5.3,3.7,13.3,27,"Burnout, Exam Anxiety, Sleep Deprivation, Fear of Failure",1.0
usr_00144,Working Woman,36,Female,6.2,4.5,8.2,16,"Career-Home Balance, Sleep Deprivation, Burnout, Imposter Syndrome",0.694
usr_00145,Working Woman,43,Female,5.8,6.2,7.6,98,"Invisible Load, Career-Home Balance, Imposter Syndrome, Sleep Deprivation, Burnout",0.743
usr_00146,Working Woman,33,Female,5.9,1.6,9.6,25,"Imposter Syndrome, Invisible Load, Financial Pressure, Career-Home Balance",0.699
usr_00147,Exam Warrior,20,Male,5.6,4.7,10.7,31,"Exam Anxiety, Time Management, Sleep Deprivation, Burnout, Academic Overload",0.942
usr_00148,Exam Warrior,21,Female,4.5,4.4,12.5,79,"Imposter Syndrome, Academic Overload, Exam Anxiety, Sleep Deprivation",0.879
usr_00149,Corporate,41,Male,6.7,5.2,8.2,63,"Time Management, Clinical Anxiety, Financial Pressure, Meeting Fatigue, Burnout",0.655
usr_00150,Teen,13,Female,5.6,11.6,3.5,88,"Fear of Failure, Academic Overload, Social Media, Time Management",0.547
usr_00151,Teen,17,Female,7.7,7.8,5.8,63,"Academic Overload, Social Media, Time Management, Depressive Mood, Dietary Neglect",0.561
usr_00152,Working Woman,42,Female,5.8,2.4,6.4,8,"Relationship Friction, Financial Pressure, Imposter Syndrome, Invisible Load",0.689
usr_00153,Teen,16,Male,5.1,8.0,4.2,76,"Social Media, Time Management, Academic Overload, Peer Pressure",0.519
usr_00154,Teen,17,Male,6.5,2.6,3.1,44,"Academic Overload, Dietary Neglect, Fear of Failure, Depressive Mood, Peer Pressure",0.657
usr_00155,Teen,13,Female,7.3,7.8,4.3,75,"Time Management, Depressive Mood, Social Media, Peer Pressure",0.487
usr_00156,Teen,18,Male,9.9,7.0,5.6,31,"Fear of Failure, Depressive Mood, Social Media, Peer Pressure",0.656
usr_00157,Exam Warrior,18,Male,6.3,3.6,9.4,37,"Fear of Failure, Sleep Deprivation, Exam Anxiety, Time Management",0.678
usr_00158,Exam Warrior,20,Female,5.8,3.6,14.1,94,"Academic Overload, Time Management, Sleep Deprivation, Imposter Syndrome",0.75
usr_00159,Teen,14,Female,7.2,7.9,5.6,6,"Social Media, Peer Pressure, Fear of Failure, Time Management, Academic Overload",0.679
usr_00160,Parent,51,Female,7.7,3.6,7.0,59,"Teen Disconnect, Time Management, Financial Pressure, Career-Home Balance, Relationship Friction",0.611
usr_00161,Exam Warrior,20,Male,4.7,3.0,12.4,50,"Academic Overload, Exam Anxiety, Sleep Deprivation, Fear of Failure",0.992
usr_00162,Working Woman,39,Female,6.5,1.6,7.2,34,"Imposter Syndrome, Career-Home Balance, Invisible Load, Financial Pressure",0.619
usr_00163,Corporate,50,Male,6.4,4.9,11.5,36,"Clinical Anxiety, Meeting Fatigue, Sedentary Lifestyle, Financial Pressure",0.659
usr_00164,Working Woman,33,Female,6.0,5.9,9.9,35,"Invisible Load, Burnout, Imposter Syndrome, Sleep Deprivation, Career-Home Balance",0.883
usr_00165,Exam Warrior,19,Male,6.7,5.1,12.4,57,"Academic Overload, Exam Anxiety, Sleep Deprivation, Imposter Syndrome, Fear of Failure",0.944
usr_00166,Corporate,33,Male,7.0,5.3,10.8,99,"Sedentary Lifestyle, Meeting Fatigue, Burnout, Clinical Anxiety, Time Management",0.614
usr_00167,Exam Warrior,18,Male,3.4,3.9,11.3,59,"Time Management, Imposter Syndrome, Burnout, Exam Anxiety",0.95
usr_00168,Corporate,35,Male,6.9,2.9,8.8,27,"Time Management, Sedentary Lifestyle, Clinical Anxiety, Meeting Fatigue",0.486
usr_00169,Exam Warrior,17,Female,6.4,2.8,9.2,66,"Sleep Deprivation, Academic Overload, Imposter Syndrome, Exam Anxiety",0.639
usr_00170,Exam Warrior,19,Male,5.3,4.7,12.5,0,"Burnout, Academic Overload, Time Management, Sleep Deprivation, Imposter Syndrome",0.934
usr_00171,Teen,18,Male,6.6,10.7,5.5,27,"Dietary Neglect, Peer Pressure, Fear of Failure, Academic Overload",0.627
usr_00172,Working Woman,41,Female,5.9,4.0,9.6,28,"Imposter Syndrome, Sleep Deprivation, Burnout, Invisible Load, Career-Home Balance",0.799
usr_00173,Teen,15,Male,6.8,7.8,4.3,19,"Fear of Failure, Dietary Neglect, Depressive Mood, Social Media",0.588
usr_00174,Corporate,45,Female,6.1,6.1,9.8,22,"Clinical Anxiety, Sedentary Lifestyle, Burnout, Time Management, Manager Toxicity",0.739
usr_00175,Working Woman,27,Female,7.1,2.8,9.4,84,"Career-Home Balance, Financial Pressure, Imposter Syndrome, Burnout",0.599
usr_00176,Teen,17,Male,6.8,7.4,6.0,89,"Dietary Neglect, Social Media, Peer Pressure, Fear of Failure, Academic Overload",0.509
usr_00177,Parent,41,Male,7.1,2.4,8.7,90,"Career-Home Balance, Relationship Friction, Time Management, Teen Disconnect",0.48
usr_00178,Teen,18,Female,7.7,7.3,5.6,89,"Depressive Mood, Time Management, Peer Pressure, Dietary Neglect",0.461
usr_00179,Working Woman,23,Female,5.9,4.4,9.0,76,"Financial Pressure, Invisible Load, Relationship Friction, Burnout, Sleep Deprivation",0.744
usr_00180,Teen,15,Female,5.0,5.3,6.3,81,"Dietary Neglect, Social Media, Academic Overload, Depressive Mood",0.517
usr_00181,Corporate,44,Male,5.9,5.7,9.2,14,"Time Management, Financial Pressure, Meeting Fatigue, Sedentary Lifestyle",0.517
usr_00182,Teen,16,Female,4.6,8.9,7.7,95,"Dietary Neglect, Academic Overload, Depressive Mood, Peer Pressure, Time Management",0.683
usr_00183,Teen,15,Male,7.2,5.7,6.3,45,"Academic Overload, Peer Pressure, Time Management, Depressive Mood",0.569
usr_00184,Teen,15,Female,5.0,7.3,2.1,86,"Fear of Failure, Academic Overload, Dietary Neglect, Time Management",0.478
usr_00185,Exam Warrior,18,Female,5.3,3.9,11.2,33,"Burnout, Imposter Syndrome, Time Management, Academic Overload",0.802
usr_00186,Corporate,25,Male,5.2,3.8,9.8,15,"Time Management, Sedentary Lifestyle, Clinical Anxiety, Meeting Fatigue",0.675
usr_00187,Exam Warrior,18,Female,5.8,3.4,11.6,6,"Sleep Deprivation, Time Management, Academic Overload, Imposter Syndrome, Fear of Failure",0.906
usr_00188,Working Woman,31,Female,5.5,4.6,9.9,60,"Sleep Deprivation, Career-Home Balance, Financial Pressure, Burnout",0.73
usr_00189,Exam Warrior,18,Male,5.9,1.2,11.9,91,"Time Management, Academic Overload, Exam Anxiety, Burnout",0.825
usr_00190,Teen,14,Male,5.3,10.1,3.5,36,"Depressive Mood, Academic Overload, Dietary Neglect, Peer Pressure, Time Management",0.683
usr_00191,Working Woman,39,Female,6.7,4.5,10.0,18,"Career-Home Balance, Financial Pressure, Sleep Deprivation, Imposter Syndrome",0.712
usr_00192,Working Woman,31,Female,8.2,2.5,9.3,97,"Relationship Friction, Burnout, Invisible Load, Sleep Deprivation",0.584
usr_00193,Teen,17,Male,7.1,6.7,6.2,9,"Depressive Mood, Peer Pressure, Academic Overload, Dietary Neglect",0.648
usr_00194,Teen,18,Female,7.8,4.2,4.3,38,"Academic Overload, Fear of Failure, Depressive Mood, Dietary Neglect",0.62
usr_00195,Teen,13,Male,8.3,6.1,3.0,31,"Dietary Neglect, Fear of Failure, Time Management, Academic Overload",0.506
usr_00196,Corporate,57,Male,5.1,4.4,8.4,48,"Financial Pressure, Clinical Anxiety, Time Management, Burnout, Meeting Fatigue",0.763
usr_00197,Working Woman,23,Female,5.5,4.2,6.5,71,"Career-Home Balance, Sleep Deprivation, Imposter Syndrome, Relationship Friction",0.64
usr_00198,Exam Warrior,17,Female,4.6,2.3,12.5,97,"Academic Overload, Exam Anxiety, Imposter Syndrome, Time Management",0.86
